Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 8 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,1,330,3,0,0,6,425,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,1,480,3,1,2,5,425,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,425,1,0,4,6,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,0,150,0,0,1,3,690,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,0,140,0,0,1,1,690,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,690,3,2,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,0,330,2,0,3,1,665,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,0,275,1,1,2,2,665,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,665,4,1,0,11,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,5,2,1190,7,0,7,14,2780,,,,,,,,,,,,,,,,,,,,,,
AcePocket,5,2,1525,7,2,9,15,2780,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2780,12,7,9,38,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,0,260,1,0,2,4,1245,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,0,205,0,1,3,1,1245,,,,,,,,,,,,,,,,,,,,,,
