Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
kcscrag,1,1,575,3,3,1,9,565,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,565,3,1,6,5,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,0,345,2,0,2,4,785,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,0,260,1,1,0,6,785,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,785,4,3,6,9,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,350,2,1,2,4,490,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,340,2,1,1,5,490,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,490,1,1,5,4,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,5,4,1745,10,5,6,17,2880,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,5,4,1835,9,8,4,32,2880,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2880,12,7,26,26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,0,180,1,0,0,2,690,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,0,405,2,1,1,8,690,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,690,4,3,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,510,1,3,2,7,1215,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,655,3,1,1,9,1215,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,1215,3,2,9,8,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,255,1,1,1,6,530,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,600,4,1,3,5,530,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,530,2,1,3,8,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,325,2,2,1,2,475,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,375,2,2,1,6,475,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,475,2,1,4,4,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,385,3,1,1,2,390,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,290,2,1,1,2,390,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,390,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,5,4,1655,8,7,5,19,3300,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,5,4,2325,13,6,7,30,3300,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,3300,12,8,18,30,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,315,2,1,0,6,280,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,380,1,2,1,2,280,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,280,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,680,6,1,1,7,285,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,555,3,3,3,4,285,,,,,,,,,,,,,,,,,,,,,,
